release,experiment,revision,configuration,primary_path,control_path,model,quantization,kv_type,workload,concurrency,input_tokens,output_tokens,ttft_primary_ms,ttft_control_ms,token1_to_2_ms,prefill_primary_tok_s,prefill_control_tok_s,prefill_aggregate_primary_tok_s,prefill_aggregate_control_tok_s,decode_primary_tok_s,decode_control_tok_s,decode_aggregate_primary_tok_s,decode_aggregate_control_tok_s,e2e_aggregate_primary_tok_s,e2e_aggregate_control_tok_s,kv_migration_ms,acceptance_pct,ms_per_step,tokens_per_step,status,notes
2.6,27B-B,3080-raw,raw-baseline,RTX3080-raw,NA,Qwen3.8-27B,Q4_K_M,NA,pp1024,1,1024,NA,NA,NA,NA,1228.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,standalone raw baseline
2.6,27B-B,3080-raw,raw-baseline,RTX3080-raw,NA,Qwen3.8-27B,Q4_K_M,NA,pp4096,1,4096,NA,NA,NA,NA,1203.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,standalone raw baseline
2.6,27B-B,3080-raw,raw-baseline,RTX3080-raw,NA,Qwen3.8-27B,Q4_K_M,NA,tg64,1,NA,64,NA,NA,NA,NA,NA,NA,NA,33.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,standalone raw baseline
2.6,27B-C,router-v1.1,serialized-prefill,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,1,1000,128,829,3257,NA,1210.6,307.1,1210.6,NA,38.50,36.56,33.55,25.00,16.8,12.5,NA,NA,NA,NA,measured,solo aggregate prefill not measured
2.6,27B-C,router-v1.1,serialized-prefill,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,2,1000,128,1283,3279,NA,1204.8,304.9,1204.8,NA,28.51,20.17,45.57,28.39,22.9,14.2,NA,NA,NA,NA,measured,solo aggregate prefill not measured
2.6,27B-C,router-v1.1,serialized-prefill,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,3,1000,128,1731,8060,NA,1205.5,124.1,1205.5,NA,22.51,17.39,52.31,32.74,26.3,16.3,NA,NA,NA,NA,measured,solo aggregate prefill not measured
2.6,27B-C,router-v1.1,serialized-prefill,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,4,1000,128,2195,6897,NA,1199.5,145.0,1199.5,NA,19.66,14.24,51.30,30.15,25.7,15.1,NA,NA,NA,NA,measured,solo aggregate prefill not measured
2.6,27B-C,router-v1.1,serialized-prefill,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,5,1000,128,2668,7609,NA,1194.4,131.4,1194.4,NA,16.07,8.27,61.64,25.12,30.9,12.5,NA,NA,NA,NA,measured,solo aggregate prefill not measured
2.6,27B-C,router-v1.1,serialized-prefill,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,6,1000,128,3122,8354,NA,1197.2,119.7,1197.2,NA,14.68,8.34,63.84,27.25,32.0,15.9,NA,NA,NA,NA,measured,solo aggregate prefill not measured
2.6,27B-C,router-v1.1,repetitive-decode-low,395-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,repetitive-text,1,NA,128,NA,NA,NA,NA,NA,NA,NA,35.0,NA,NA,NA,NA,NA,NA,100,NA,NA,measured,lower repeated-run headline value not production prose
2.6,27B-C,router-v1.1,repetitive-decode-high,395-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,repetitive-text,1,NA,128,NA,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,100,NA,NA,measured,upper repeated-run headline value not production prose
2.6,27B-D,router-v1.2,two-stage-preemption,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,1,1000,128,921,3125,96,1090,NA,1079,NA,63.2,24.5,58.2,NA,41.2,15.4,NA,NA,NA,NA,measured,prefill fields are single and aggregate for router
2.6,27B-D,router-v1.2,two-stage-preemption,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,2,1000,128,1420,3254,396,1081,NA,1043,NA,24.1,17.6,38.0,NA,33.6,20.3,NA,NA,NA,NA,measured,prefill fields are single and aggregate for router
2.6,27B-D,router-v1.2,two-stage-preemption,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,3,1000,128,1917,5512,575,1080,NA,1030,NA,22.5,12.3,45.8,NA,41.5,16.2,NA,NA,NA,NA,measured,prefill fields are single and aggregate for router
2.6,27B-D,router-v1.2,two-stage-preemption,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,4,1000,128,2424,8602,739,1077,NA,1017,NA,17.8,12.0,44.3,NA,41.3,21.3,NA,NA,NA,NA,measured,prefill fields are single and aggregate for router
2.6,27B-D,router-v1.2,two-stage-preemption,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,5,1000,128,2911,7603,836,1082,NA,1018,NA,13.9,8.1,45.4,NA,42.8,19.6,NA,NA,NA,NA,measured,prefill fields are single and aggregate for router
2.6,27B-D,router-v1.2,two-stage-preemption,router,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,random-word-1000in-128out,6,1000,128,3404,8319,1060,1082,NA,1016,NA,13.2,7.4,48.0,NA,45.7,23.3,NA,NA,NA,NA,measured,prefill fields are single and aggregate for router
2.6,27B-D,router-v1.2,3080-DFlash2-point,RTX3080-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,natural-language-point,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,NA,NA,NA,NA,NA,NA,43,NA,NA,measured,point test not interchangeable with random-seed C1
2.6,27B-D,router-v1.2,3080-DFlash2-point,RTX3080-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,code-point,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4,NA,NA,NA,NA,NA,NA,87,NA,NA,measured,point test not interchangeable with random-seed C1
2.6,27B-D,395-natural-audit,395-DFlash2-nmax7,395-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,natural-language-direct,1,NA,128,NA,NA,NA,NA,NA,NA,NA,12.1,NA,10.9,NA,NA,NA,NA,17.7,178,2.17,measured,headless baseline is 18.26 tok/s
2.6,27B-D,395-natural-audit,395-DFlash2-nmax7,395-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,natural-language-direct,2,NA,128,NA,NA,NA,NA,NA,NA,NA,9.9,NA,16.4,NA,NA,NA,NA,24.3,262,2.61,measured,C5 was not measured
2.6,27B-D,395-natural-audit,395-DFlash2-nmax7,395-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,natural-language-direct,3,NA,128,NA,NA,NA,NA,NA,NA,NA,7.6,NA,19.3,NA,NA,NA,NA,21.1,318,2.42,measured,C5 was not measured
2.6,27B-D,395-natural-audit,395-DFlash2-nmax7,395-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,natural-language-direct,4,NA,128,NA,NA,NA,NA,NA,NA,NA,5.8,NA,19.5,NA,NA,NA,NA,17.9,378,2.19,measured,C5 was not measured
2.6,27B-D,395-natural-audit,395-DFlash2-nmax7,395-DFlash2,NA,Qwen3.8-27B,Q4_K_M,q4_0,natural-language-direct,6,NA,128,NA,NA,NA,NA,NA,NA,NA,4.0,NA,19.8,NA,NA,NA,NA,18.3,548,2.22,measured,C5 was not measured
